url,family,score,reason
https://nursenest.ca/blog/abg-interpretation-advanced-review-np-certification,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ace-inhibitors-clinical-pharmacology-pharmacy-guide,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/adhd-management-review-np-certification,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/antibiotic-classes-pharmacology-overview,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/anticoagulant-prescribing-review-np-certification,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/anticoagulants-pharmacology-overview-pharmacy,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/antipsychotic-side-effects-pharmacy-clinical-guide,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ar-intl-hospital-delirium-nonpharm-intl-topic-012,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ar-intl-hospital-delirium-nonpharm-intl-topic-040,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ar-intl-hospital-delirium-nonpharm-intl-topic-068,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ar-intl-hospital-delirium-nonpharm-intl-topic-096,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/ar-intl-hospital-delirium-nonpharm-intl-topic-124,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/asthma-medications-pharmacology-explained,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-abg-metabolic-respiratory-mixed-patterns-primary-care-australia,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-abg-metabolic-respiratory-mixed-patterns-rural-remote-australia,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-acute-undifferentiated-chest-pain-triage-community-mental-health,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-acute-undifferentiated-chest-pain-triage-primary-care-australia,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-acute-undifferentiated-chest-pain-triage-reproductive-womens-health,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-advanced-respiratory-exam-adventitious-sounds-community-mental-health,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-advanced-respiratory-exam-adventitious-sounds-hospital-acute-interface,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-advanced-respiratory-exam-adventitious-sounds-primary-care-australia,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-advanced-respiratory-exam-adventitious-sounds-reproductive-womens-health,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-advanced-respiratory-exam-adventitious-sounds-rural-remote-australia,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
https://nursenest.ca/blog/au-np-acp-af-anticoagulation-decision-aids-educational-hospital-acute-interface,blog,80,currently_200_sampled_indexable_not_for_submission_until_gsc_go
